Country,Year,EnergyPerCapita_kWh
Afghanistan,2021,676.696
Albania,2021,14100.432
Algeria,2021,16017.653
Angola,2021,2791.332
Antigua and Barbuda,2021,29464.332
Argentina,2021,21168.963
Armenia,2021,17684.547
Aruba,2021,46090.324
Australia,2021,61304.32
Austria,2021,45508.77
Azerbaijan,2021,19155.395
"Bahamas, The",2021,35447.574
Bahrain,2021,161111.203
Bangladesh,2021,2907.366
Barbados,2021,23025.998
Belarus,2021,31953.428
Belgium,2021,63587.875
Belize,2021,7437.571
Benin,2021,2484.818
Bermuda,2021,46490.223
Bhutan,2021,27785.357
Bolivia,2021,7062.148
Bosnia and Herzegovina,2021,23013.498
Botswana,2021,9385.398
Brazil,2021,16659.977
British Virgin Islands,2021,20316.449
Brunei Darussalam,2021,103268.102
Bulgaria,2021,32224.797
Burkina Faso,2021,904.726
Burundi,2021,293.889
Cambodia,2021,4035.081
Cameroon,2021,1593.62
Canada,2021,101349.102
Cabo Verde,2021,7249.497
Central African Republic,2021,286.132
Chad,2021,361.161
Chile,2021,24462.756
China,2021,30750.547
Colombia,2021,11156.515
Comoros,2021,1633.784
"Congo, Rep.",2021,2348.011
Costa Rica,2021,11957.598
Cote d'Ivoire,2021,2370.596
Croatia,2021,24213.969
Cuba,2021,9229.538
Cyprus,2021,23985.012
Czechia,2021,44374.195
"Congo, Dem. Rep.",2021,410.887
Denmark,2021,32358.58
Djibouti,2021,2785.072
Dominica,2021,10547.773
Dominican Republic,2021,9987.583
Timor-Leste,2021,1615.498
Ecuador,2021,11945.164
"Egypt, Arab Rep.",2021,9689.934
El Salvador,2021,7076.433
Equatorial Guinea,2021,12399.339
Eritrea,2021,914.495
Estonia,2021,46211.348
Eswatini,2021,5981.112
Ethiopia,2021,871.584
Faroe Islands,2021,70956.359
Fiji,2021,9222.848
Finland,2021,57919.223
France,2021,40191.641
French Polynesia,2021,15242.301
Gabon,2021,8009.644
"Gambia, The",2021,931.273
Georgia,2021,20834.768
Germany,2021,42496.609
Ghana,2021,3483.363
Greece,2021,28963.67
Greenland,2021,63520.266
Grenada,2021,9432.062
Guatemala,2021,5712.118
Guinea,2021,1281.525
Guinea-Bissau,2021,677.328
Guyana,2021,13690.034
Haiti,2021,1030.881
Honduras,2021,5086.934
"Hong Kong SAR, China",2021,32504.035
Hungary,2021,29244.559
Iceland,2021,163754.672
India,2021,6809.693
Indonesia,2021,8087.771
"Iran, Islamic Rep.",2021,37783.531
Iraq,2021,13615.412
Ireland,2021,35986.184
Israel,2021,32813.754
Italy,2021,29854.949
Jamaica,2021,12235.784
